ablation,entropy,representation,training_steps,avg_reward,std_reward,success_rate,std_success,avg_path_length,avg_connectivity,avg_empty_ratio,seed_rewards,seed_success,seed_paths
no_connectivity,0.01,wide,50000,366.31930000000006,3.7968999999999937,0.135,0.015,18.733333333333334,0.6956000208803648,0.5894,"[370.11620000000005, 362.52240000000006]","[0.15, 0.12]","[18.133333333333333, 19.333333333333332]"
no_connectivity,0.01,narrow,100000,574.6116499999999,16.366550000000075,0.585,0.04499999999999999,18.06878306878307,0.904742653275421,0.7474999999999998,"[590.9782, 558.2450999999999]","[0.63, 0.54]","[18.063492063492063, 18.074074074074073]"
no_connectivity,0.01,wide,100000,511.18760000000003,34.587899999999934,0.195,0.015,18.158730158730158,0.7916546595178653,0.61575,"[545.7755, 476.5997000000001]","[0.18, 0.21]","[18.22222222222222, 18.095238095238095]"
no_connectivity,0.01,narrow,200000,548.7569000000001,19.495499999999936,0.54,0.020000000000000018,18.089285714285715,0.8868031192419685,0.7331000000000001,"[568.2524, 529.2614000000001]","[0.52, 0.56]","[18.0, 18.178571428571427]"
no_connectivity,0.01,wide,200000,603.3804000000001,23.286699999999996,0.275,0.035,18.129032258064516,0.8352854603550892,0.6331,"[626.6671000000001, 580.0937000000001]","[0.24, 0.31]","[18.0, 18.258064516129032]"
no_connectivity,0.01,narrow,500000,548.18445,36.11945000000003,0.5449999999999999,0.05499999999999999,18.04081632653061,0.9129839125197605,0.7450500000000001,"[584.3039, 512.0649999999999]","[0.6, 0.49]","[18.0, 18.081632653061224]"
no_connectivity,0.01,wide,500000,635.3973500000001,68.91035000000011,0.27,0.010000000000000009,18.112637362637365,0.8048051365865807,0.62265,"[704.3077000000002, 566.487]","[0.28, 0.26]","[18.071428571428573, 18.153846153846153]"
no_connectivity,0.01,narrow,1000000,563.2169,43.235000000000014,0.5349999999999999,0.065,18.113829787234046,0.8842181541342724,0.7302500000000001,"[606.4519, 519.9819]","[0.6, 0.47]","[18.1, 18.127659574468087]"
no_connectivity,0.01,wide,1000000,715.0414499999999,19.770749999999964,0.355,0.05499999999999999,18.166666666666664,0.8420399809872086,0.63785,"[734.8122, 695.2707]","[0.3, 0.41]","[18.333333333333332, 18.0]"
no_connectivity,0.05,narrow,50000,470.55289999999997,17.69059999999996,0.42500000000000004,0.035,18.33166109253066,0.8143047468325533,0.6821499999999999,"[488.2434999999999, 452.8623]","[0.46, 0.39]","[18.304347826086957, 18.358974358974358]"
no_connectivity,0.05,wide,50000,291.34029999999996,3.5268999999999266,0.125,0.035,18.444444444444443,0.6334919087602937,0.5737000000000001,"[294.8671999999999, 287.81340000000006]","[0.09, 0.16]","[18.88888888888889, 18.0]"
no_connectivity,0.05,narrow,100000,497.9103500000001,40.703950000000106,0.41500000000000004,0.10500000000000001,18.141439205955336,0.8521821592194958,0.6951,"[538.6143000000002, 457.2064]","[0.52, 0.31]","[18.153846153846153, 18.129032258064516]"
no_connectivity,0.05,wide,100000,390.15105,21.719349999999963,0.14500000000000002,0.02500000000000001,18.700980392156865,0.713450760129759,0.5965,"[411.87039999999996, 368.43170000000003]","[0.12, 0.17]","[19.166666666666668, 18.235294117647058]"
no_connectivity,0.05,narrow,200000,493.5819999999999,9.406999999999954,0.485,0.0050000000000000044,18.14540816326531,0.8488386245497913,0.6958500000000001,"[502.98899999999986, 484.17499999999995]","[0.48, 0.49]","[18.25, 18.040816326530614]"
no_connectivity,0.05,wide,200000,491.6033500000001,0.38334999999997876,0.265,0.024999999999999994,18.15948275862069,0.7710058878860766,0.6167,"[491.98670000000004, 491.2200000000001]","[0.24, 0.29]","[18.25, 18.06896551724138]"
no_connectivity,0.05,narrow,500000,495.66125000000005,20.308749999999975,0.45,0.0,18.066666666666666,0.841514704651124,0.6918499999999999,"[475.3525000000001, 515.97]","[0.45, 0.45]","[18.044444444444444, 18.08888888888889]"
no_connectivity,0.05,wide,500000,565.0783999999999,20.073199999999986,0.31,0.06,18.094054054054055,0.8061901216785688,0.6327,"[585.1515999999999, 545.0052]","[0.25, 0.37]","[18.08, 18.10810810810811]"
