ablation,entropy,representation,training_steps,avg_reward,std_reward,success_rate,std_success,avg_path_length,avg_connectivity,avg_empty_ratio,seed_rewards,seed_success,seed_path
no_distance,0.05,narrow,500000,424.2730799999999,18.11728999999997,0.525,0.03500000000000003,20.198979591836732,0.525,0.67475,"[406.1557899999999, 442.39036999999985]","[0.49, 0.56]","[19.46938775510204, 20.928571428571427]"
no_distance,0.05,wide,500000,465.5521299999999,0.25342000000003395,0.48,0.05000000000000002,21.246599385695482,0.48,0.6474500000000001,"[465.29870999999986, 465.8055499999999]","[0.43, 0.53]","[21.813953488372093, 20.67924528301887]"
no_distance,0.05,narrow,1000000,386.39707999999985,1.2575400000000343,0.41000000000000003,0.01999999999999999,20.71437090041741,0.41000000000000003,0.6589,"[385.13953999999984, 387.6546199999999]","[0.43, 0.39]","[21.069767441860463, 20.358974358974358]"
no_distance,0.05,wide,1000000,487.4608649999998,1.6053949999999588,0.59,0.020000000000000018,20.69974115616911,0.59,0.6547499999999999,"[485.85546999999985, 489.0662599999998]","[0.61, 0.57]","[20.557377049180328, 20.842105263157894]"
no_connectivity,0.01,narrow,50000,296.9955195848189,31.724926588410085,0.31,0.010000000000000009,21.24791666666667,0.31,0.6251,"[265.2705929964088, 328.720446173229]","[0.3, 0.32]","[20.933333333333334, 21.5625]"
no_connectivity,0.01,wide,50000,174.24809402714735,9.041932320554707,0.085,0.015,22.74285714285714,0.085,0.5361,"[165.20616170659264, 183.29002634770205]","[0.07, 0.1]","[22.285714285714285, 23.2]"
no_connectivity,0.01,narrow,100000,525.0731067549938,31.39195124067325,0.73,0.07,20.054166666666667,0.73,0.74515,"[493.68115551432055, 556.465057995667]","[0.66, 0.8]","[20.333333333333332, 19.775]"
no_connectivity,0.01,wide,100000,218.2111318474109,8.770557741409391,0.095,0.0050000000000000044,20.044444444444444,0.095,0.5501499999999999,"[209.44057410600152, 226.9816895888203]","[0.09, 0.1]","[20.88888888888889, 19.2]"
no_connectivity,0.01,narrow,200000,509.6875276725681,12.198236859335026,0.735,0.015000000000000013,20.037777777777777,0.735,0.7491500000000001,"[497.489290813233, 521.8857645319031]","[0.75, 0.72]","[19.52, 20.555555555555557]"
no_connectivity,0.01,wide,200000,283.35622713999703,16.017676872456008,0.20500000000000002,0.03499999999999999,21.762254901960784,0.20500000000000002,0.5896,"[299.37390401245307, 267.33855026754105]","[0.24, 0.17]","[22.583333333333332, 20.941176470588236]"
no_connectivity,0.01,narrow,500000,488.6073108567007,5.92691376699824,0.615,0.0050000000000000044,19.639873083024852,0.615,0.7280499999999999,"[482.68039708970247, 494.53422462369895]","[0.61, 0.62]","[19.34426229508197, 19.93548387096774]"
no_connectivity,0.01,wide,500000,480.6715748426602,23.692805357022905,0.6950000000000001,0.05499999999999999,20.48125,0.6950000000000001,0.6776500000000001,"[504.3643801996831, 456.9787694856373]","[0.75, 0.64]","[20.4, 20.5625]"
no_connectivity,0.01,narrow,1000000,447.48052035672333,0.519279726247845,0.565,0.004999999999999949,19.843045112781954,0.565,0.7147,"[446.9612406304755, 447.9998000829712]","[0.56, 0.57]","[20.107142857142858, 19.57894736842105]"
no_connectivity,0.01,wide,1000000,539.8865610045184,12.195166021699038,0.785,0.0050000000000000044,20.174618630314832,0.785,0.7006500000000001,"[552.0817270262174, 527.6913949828194]","[0.79, 0.78]","[20.759493670886076, 19.58974358974359]"
no_connectivity,0.05,narrow,500000,356.8315308700253,29.668046387417547,0.45,0.010000000000000009,20.861660079051383,0.45,0.65915,"[327.1634844826077, 386.4995772574428]","[0.44, 0.46]","[20.636363636363637, 21.08695652173913]"
no_connectivity,0.05,wide,500000,390.99485871118316,2.3109952610875837,0.475,0.024999999999999994,21.22,0.475,0.6305999999999999,"[393.3058539722707, 388.68386345009554]","[0.5, 0.45]","[20.84, 21.6]"
no_connectivity,0.05,narrow,1000000,372.7317129293072,7.305325092363944,0.44999999999999996,0.04000000000000001,20.47237431557989,0.44999999999999996,0.6519,"[380.03703802167115, 365.42638783694326]","[0.49, 0.41]","[20.408163265306122, 20.536585365853657]"
no_connectivity,0.05,wide,1000000,425.4214602851108,8.202417258863676,0.5,0.030000000000000027,20.753512645523884,0.5,0.6480999999999999,"[433.62387754397446, 417.2190430262471]","[0.53, 0.47]","[20.528301886792452, 20.97872340425532]"
no_connectivity,0.05,narrow,50000,220.50048706793535,42.693439581564235,0.22,0.09,23.615384615384613,0.22,0.5834999999999999,"[263.1939266494996, 177.80704748637112]","[0.31, 0.13]","[22.0, 25.23076923076923]"
no_connectivity,0.05,wide,50000,179.28883690142374,12.58358500454085,0.060000000000000005,0.010000000000000002,23.857142857142858,0.060000000000000005,0.53225,"[166.70525189688288, 191.8724219059646]","[0.07, 0.05]","[25.714285714285715, 22.0]"
no_connectivity,0.05,narrow,100000,369.02668529354037,38.18715156940263,0.45,0.06,21.110105580693816,0.45,0.6507000000000001,"[407.21383686294297, 330.8395337241377]","[0.51, 0.39]","[20.784313725490197, 21.435897435897434]"
no_connectivity,0.05,wide,100000,211.24197835454476,8.328339683199971,0.09,0.0,22.88888888888889,0.09,0.5385500000000001,"[219.57031803774473, 202.91363867134478]","[0.09, 0.09]","[23.555555555555557, 22.22222222222222]"
no_connectivity,0.05,narrow,200000,345.9915499743105,40.59325445442013,0.42000000000000004,0.07999999999999999,20.876470588235293,0.42000000000000004,0.6503000000000001,"[305.3982955198903, 386.5848044287306]","[0.34, 0.5]","[21.352941176470587, 20.4]"
no_connectivity,0.05,wide,200000,242.8378192186958,8.527653971951025,0.155,0.0050000000000000044,20.7875,0.155,0.57125,"[234.3101652467448, 251.36547319064684]","[0.16, 0.15]","[20.375, 21.2]"
